id,category,text,filename
dialogue-base-01,base,"今日の小さな満足に、感謝いたしましょう。",voice/dialogue-base-01.mp3
dialogue-base-02,base,"ごきげんよう。本日もほどほどに満たされてまいりましょう。",voice/dialogue-base-02.mp3
dialogue-base-03,base,"満足は逃げませんわ。たぶん。ですので、焦らずどうぞ。",voice/dialogue-base-03.mp3
dialogue-base-04,base,"教義は簡単ですの。嬉しかったら、それが満足ですわ。",voice/dialogue-base-04.mp3
dialogue-base-05,base,"数字が増える様子は、いつ見てもよいものですわね。",voice/dialogue-base-05.mp3
dialogue-base-06,base,"わたくしを眺める時間も、立派な活動記録ですのよ。",voice/dialogue-base-06.mp3
dialogue-base-07,base,"今日も世界のすみっこから、静かに布教中ですわ。",voice/dialogue-base-07.mp3
dialogue-base-08,base,"難しいことは明日のわたくしに任せましょう。",voice/dialogue-base-08.mp3
dialogue-base-09,base,"休憩もまた満足。異論は認めますけれど、聞き流しますわ。",voice/dialogue-base-09.mp3
dialogue-base-10,base,"満たされておりますか？ まだなら、もうひとさわりどうぞ。",voice/dialogue-base-10.mp3
dialogue-base-11,base,"大丈夫ですわ。だいたいのことは、おやつと睡眠で整います。",voice/dialogue-base-11.mp3
dialogue-base-12,base,"その熱意、救済印を押して差し上げたいくらいですわ。",voice/dialogue-base-12.mp3
dialogue-time-late-night-01,time-late-night,"夜更かしの信者には、あたたかい飲み物を推奨いたしますわ。",voice/dialogue-time-late-night-01.mp3
dialogue-time-late-night-02,time-late-night,"深夜の満足は、昼より少しだけ秘密めいておりますの。",voice/dialogue-time-late-night-02.mp3
dialogue-time-late-night-03,time-late-night,"眠れない夜ですの？ では、静かに数字を増やしましょう。",voice/dialogue-time-late-night-03.mp3
dialogue-time-morning-01,time-morning,"おはようございます。朝の満足を一杯どうぞ。",voice/dialogue-time-morning-01.mp3
dialogue-time-morning-02,time-morning,"起きられただけで、本日はすでに一徳ですわ。",voice/dialogue-time-morning-02.mp3
dialogue-time-morning-03,time-morning,"朝一番のひとさわり、確かに受け取りました。",voice/dialogue-time-morning-03.mp3
dialogue-time-daytime-01,time-daytime,"お昼の布教活動、お疲れさまですわ。",voice/dialogue-time-daytime-01.mp3
dialogue-time-daytime-02,time-daytime,"日の高いうちから熱心ですこと。よい心がけですわ。",voice/dialogue-time-daytime-02.mp3
dialogue-time-daytime-03,time-daytime,"おやつの時間まで、満足を貯めておきましょう。",voice/dialogue-time-daytime-03.mp3
dialogue-time-evening-01,time-evening,"本日も一日、お疲れさまでした。ここではゆるりとどうぞ。",voice/dialogue-time-evening-01.mp3
dialogue-time-evening-02,time-evening,"夕暮れは、増えた数字を眺めるのによい時間ですわね。",voice/dialogue-time-evening-02.mp3
dialogue-time-evening-03,time-evening,"そろそろ、ふかふかおふとんの御利益が恋しい頃ですわ。",voice/dialogue-time-evening-03.mp3
dialogue-facility-petting-01,facility-petting,"おでこは出ておりますけれど、丁重にお願いいたしますわ。",voice/dialogue-facility-petting-01.mp3
dialogue-facility-petting-02,facility-petting,"なでなでは回数より心ですの。回数も嬉しいですけれど。",voice/dialogue-facility-petting-02.mp3
dialogue-facility-sweet-treat-01,facility-sweet-treat,"あまいおやつは、教義よりも人をまとめる力がありますわ。",voice/dialogue-facility-sweet-treat-01.mp3
dialogue-facility-sweet-treat-02,facility-sweet-treat,"糖分による救済は、たいへん即効性がございます。",voice/dialogue-facility-sweet-treat-02.mp3
